,school,district,county,num_of_testtakers,avg_score_reading,avg_score_english,avg_score_math,avg_score_science,num_testtakers_compositescr_21_and_up,pct_testtakers_compositescr_21_and_up
3,Abraham Lincoln High,San Jose Unified,Santa Clara,53.0,23.0,22.0,22.0,23.0,34.0,64.15
4,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,19.0,21.0,20.0,23.0,22.0,11.0,57.89
5,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,33.0,15.0,15.0,17.0,16.0,3.0,9.09
6,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,16.0,18.0,18.0,18.0,17.0,5.0,31.25
13,Academy of the Canyons,William S. Hart Union High,Los Angeles,36.0,29.0,29.0,25.0,25.0,34.0,94.44
16,Acalanes High,Acalanes Union High,Contra Costa,99.0,29.0,29.0,28.0,27.0,93.0,93.94
18,ACE Charter High,East Side Union High,Santa Clara,34.0,14.0,14.0,15.0,15.0,1.0,2.94
19,Adelanto High,Victor Valley Union High,San Bernardino,28.0,19.0,17.0,18.0,18.0,8.0,28.57
20,Adolfo Camarillo High,Oxnard Union High,Ventura,91.0,23.0,23.0,23.0,22.0,55.0,60.44
21,Adrian Wilcox High,Santa Clara Unified,Santa Clara,138.0,25.0,24.0,24.0,24.0,93.0,67.39
22,Agoura High,Las Virgenes Unified,Los Angeles,140.0,27.0,26.0,25.0,24.0,114.0,81.43
23,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,112.0,14.0,14.0,16.0,15.0,7.0,6.25
25,Alameda High,Alameda Unified,Alameda,93.0,28.0,27.0,27.0,26.0,85.0,91.4
27,Albany High,Albany City Unified,Alameda,58.0,28.0,27.0,27.0,26.0,51.0,87.93
29,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,139.0,23.0,23.0,21.0,21.0,75.0,53.96
30,Alhambra High,Alhambra Unified,Los Angeles,93.0,24.0,25.0,24.0,23.0,69.0,74.19
31,Alhambra Senior High,Martinez Unified,Contra Costa,40.0,25.0,23.0,25.0,23.0,30.0,75.0
32,Alisal High,Salinas Union High,Monterey,206.0,18.0,17.0,18.0,18.0,47.0,22.82
33,Aliso Niguel High,Capistrano Unified,Orange,286.0,26.0,27.0,27.0,26.0,254.0,88.81
34,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,77.0,17.0,16.0,17.0,18.0,12.0,15.58
35,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,155.0,15.0,14.0,16.0,16.0,13.0,8.39
36,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,70.0,18.0,20.0,19.0,18.0,19.0,27.14
37,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,80.0,16.0,16.0,18.0,17.0,14.0,17.5
39,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,162.0,16.0,16.0,17.0,17.0,24.0,14.81
40,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,155.0,18.0,18.0,18.0,18.0,40.0,25.81
