,county,household_median_income_2019
0,Alameda,108322
1,Butte,62563
2,Contra Costa,107135
3,El Dorado,87059
4,Fresno,57518
5,Humboldt,51662
6,Imperial,48472
7,Kern,53067
8,Kings,58453
9,Lake,47138
10,Los Angeles,72797
11,Madera,64827
12,Marin,110843
13,Mendocino,51744
14,Merced,61167
15,Monterey,77514
16,Napa,92769
17,Nevada,68818
18,Orange,95934
19,Placer,97723
20,Riverside,73260
21,Sacramento,72017
22,San Bernardino,67903
23,San Diego,83985
24,San Francisco,123859
25,San Joaquin,68997
26,San Luis Obispo,77265
27,San Mateo,138500
28,Santa Barbara,75653
29,Santa Clara,133076
30,Santa Cruz,89269
31,Shasta,63091
32,Solano,86652
33,Sonoma,87828
34,Stanislaus,63037
35,Sutter,62777
36,Tehama,53475
37,Tulare,57692
38,Ventura,92236
39,Yolo,71417
40,Yuba,58765
